Horodatage; IDC 12102954 | Consommation | EA, Courbe Origine, Pertes incluses
05/01/2022 00:00:00;105,000
05/01/2022 00:10:00;109,000
05/01/2022 00:20:00;105,000
05/01/2022 00:30:00;106,000
05/01/2022 00:40:00;102,000
05/01/2022 00:50:00;105,000
05/01/2022 01:00:00;105,000
05/01/2022 01:10:00;109,000
05/01/2022 01:20:00;103,000
05/01/2022 01:30:00;104,000
05/01/2022 01:40:00;104,000
05/01/2022 01:50:00;103,000
05/01/2022 02:00:00;102,000
05/01/2022 02:10:00;98,000
05/01/2022 02:20:00;100,000
05/01/2022 02:30:00;102,000
05/01/2022 02:40:00;102,000
05/01/2022 02:50:00;105,000
05/01/2022 03:00:00;106,000
05/01/2022 03:10:00;105,000
05/01/2022 03:20:00;105,000
05/01/2022 03:30:00;109,000
05/01/2022 03:40:00;112,000
05/01/2022 03:50:00;114,000
05/01/2022 04:00:00;114,000
05/01/2022 04:10:00;110,000
05/01/2022 04:20:00;113,000
05/01/2022 04:30:00;114,000
05/01/2022 04:40:00;111,000
05/01/2022 04:50:00;113,000
05/01/2022 05:00:00;123,000
05/01/2022 05:10:00;124,000
05/01/2022 05:20:00;133,000
05/01/2022 05:30:00;139,000
05/01/2022 05:40:00;164,000
05/01/2022 05:50:00;186,000
05/01/2022 06:00:00;214,000
05/01/2022 06:10:00;217,000
05/01/2022 06:20:00;217,000
05/01/2022 06:30:00;206,000
05/01/2022 06:40:00;236,000
05/01/2022 06:50:00;223,000
05/01/2022 07:00:00;245,000
05/01/2022 07:10:00;247,000
05/01/2022 07:20:00;292,000
05/01/2022 07:30:00;327,000
05/01/2022 07:40:00;331,000
05/01/2022 07:50:00;328,000
05/01/2022 08:00:00;329,000
05/01/2022 08:10:00;314,000
05/01/2022 08:20:00;321,000
05/01/2022 08:30:00;344,000
05/01/2022 08:40:00;377,000
05/01/2022 08:50:00;373,000
05/01/2022 09:00:00;390,000
05/01/2022 09:10:00;378,000
05/01/2022 09:20:00;358,000
05/01/2022 09:30:00;350,000
05/01/2022 09:40:00;371,000
05/01/2022 09:50:00;361,000
05/01/2022 10:00:00;346,000
05/01/2022 10:10:00;349,000
05/01/2022 10:20:00;353,000
05/01/2022 10:30:00;348,000
05/01/2022 10:40:00;345,000
05/01/2022 10:50:00;341,000
05/01/2022 11:00:00;334,000
05/01/2022 11:10:00;339,000
05/01/2022 11:20:00;329,000
05/01/2022 11:30:00;320,000
05/01/2022 11:40:00;329,000
05/01/2022 11:50:00;318,000
05/01/2022 12:00:00;271,000
05/01/2022 12:10:00;263,000
05/01/2022 12:20:00;246,000
05/01/2022 12:30:00;232,000
05/01/2022 12:40:00;252,000
05/01/2022 12:50:00;275,000
05/01/2022 13:00:00;278,000
05/01/2022 13:10:00;287,000
05/01/2022 13:20:00;272,000
05/01/2022 13:30:00;265,000
05/01/2022 13:40:00;282,000
05/01/2022 13:50:00;267,000
05/01/2022 14:00:00;241,000
05/01/2022 14:10:00;233,000
05/01/2022 14:20:00;227,000
05/01/2022 14:30:00;230,000
05/01/2022 14:40:00;234,000
05/01/2022 14:50:00;227,000
05/01/2022 15:00:00;227,000
05/01/2022 15:10:00;225,000
05/01/2022 15:20:00;223,000
05/01/2022 15:30:00;211,000
05/01/2022 15:40:00;231,000
05/01/2022 15:50:00;244,000
05/01/2022 16:00:00;234,000
05/01/2022 16:10:00;230,000
05/01/2022 16:20:00;222,000
05/01/2022 16:30:00;212,000
05/01/2022 16:40:00;210,000
05/01/2022 16:50:00;230,000
05/01/2022 17:00:00;202,000
05/01/2022 17:10:00;194,000
05/01/2022 17:20:00;198,000
05/01/2022 17:30:00;188,000
05/01/2022 17:40:00;181,000
05/01/2022 17:50:00;178,000
05/01/2022 18:00:00;154,000
05/01/2022 18:10:00;147,000
05/01/2022 18:20:00;149,000
05/01/2022 18:30:00;141,000
05/01/2022 18:40:00;142,000
05/01/2022 18:50:00;150,000
05/01/2022 19:00:00;152,000
05/01/2022 19:10:00;161,000
05/01/2022 19:20:00;141,000
05/01/2022 19:30:00;132,000
05/01/2022 19:40:00;128,000
05/01/2022 19:50:00;131,000
05/01/2022 20:00:00;133,000
05/01/2022 20:10:00;133,000
05/01/2022 20:20:00;127,000
05/01/2022 20:30:00;130,000
05/01/2022 20:40:00;127,000
05/01/2022 20:50:00;127,000
05/01/2022 21:00:00;122,000
05/01/2022 21:10:00;121,000
05/01/2022 21:20:00;124,000
05/01/2022 21:30:00;126,000
05/01/2022 21:40:00;128,000
05/01/2022 21:50:00;126,000
05/01/2022 22:00:00;116,000
05/01/2022 22:10:00;113,000
05/01/2022 22:20:00;112,000
05/01/2022 22:30:00;114,000
05/01/2022 22:40:00;110,000
05/01/2022 22:50:00;114,000
05/01/2022 23:00:00;108,000
05/01/2022 23:10:00;110,000
05/01/2022 23:20:00;105,000
05/01/2022 23:30:00;99,000
05/01/2022 23:40:00;98,000
05/01/2022 23:50:00;99,000
06/01/2022 00:00:00;98,000
06/01/2022 00:10:00;109,000
06/01/2022 00:20:00;110,000
06/01/2022 00:30:00;108,000
06/01/2022 00:40:00;103,000
06/01/2022 00:50:00;103,000
06/01/2022 01:00:00;103,000
06/01/2022 01:10:00;99,000
06/01/2022 01:20:00;103,000
06/01/2022 01:30:00;104,000
06/01/2022 01:40:00;109,000
06/01/2022 01:50:00;101,000
06/01/2022 02:00:00;101,000
06/01/2022 02:10:00;103,000
06/01/2022 02:20:00;102,000
06/01/2022 02:30:00;99,000
